"Step","new_test1416 - critic/grad_norm","new_test1416 - critic/grad_norm__MIN","new_test1416 - critic/grad_norm__MAX"
"1","1257.60791015625","1257.60791015625","1257.60791015625"
"2","1177.9521484375","1177.9521484375","1177.9521484375"
"3","1630.9195556640625","1630.9195556640625","1630.9195556640625"
"4","1048.0748291015625","1048.0748291015625","1048.0748291015625"
"5","638.302490234375","638.302490234375","638.302490234375"
"6","2328.7890625","2328.7890625","2328.7890625"
"7","1460.7718505859375","1460.7718505859375","1460.7718505859375"
"8","422.2436828613281","422.2436828613281","422.2436828613281"
"9","977.8192138671875","977.8192138671875","977.8192138671875"
"10","865.2039794921875","865.2039794921875","865.2039794921875"
"11","428.6199951171875","428.6199951171875","428.6199951171875"
"12","561.726806640625","561.726806640625","561.726806640625"
"13","560.0985717773438","560.0985717773438","560.0985717773438"
"14","114.818603515625","114.818603515625","114.818603515625"
"15","285.41815185546875","285.41815185546875","285.41815185546875"
"16","216.3971710205078","216.3971710205078","216.3971710205078"
"17","154.89820861816406","154.89820861816406","154.89820861816406"
"18","156.6519012451172","156.6519012451172","156.6519012451172"
"19","373.9405517578125","373.9405517578125","373.9405517578125"
"20","155.0127410888672","155.0127410888672","155.0127410888672"
"21","192.7592315673828","192.7592315673828","192.7592315673828"
"22","74.58817291259766","74.58817291259766","74.58817291259766"
"23","48.358314514160156","48.358314514160156","48.358314514160156"
"24","647.974609375","647.974609375","647.974609375"
"25","684.08349609375","684.08349609375","684.08349609375"
"26","188.7868194580078","188.7868194580078","188.7868194580078"
"27","64.26443481445312","64.26443481445312","64.26443481445312"
"28","586.30615234375","586.30615234375","586.30615234375"
"29","578.7374877929688","578.7374877929688","578.7374877929688"
"30","793.3684692382812","793.3684692382812","793.3684692382812"
"31","500.68096923828125","500.68096923828125","500.68096923828125"
"32","253.47471618652344","253.47471618652344","253.47471618652344"
"33","278.38812255859375","278.38812255859375","278.38812255859375"
